learning_rate,arquitectura,perdida_train,perdida_test,acc_train,acc_test,ranking
0.003,"[2, 2, 1]",0.69114,0.60306,0.7692,0.8222,821.59694
0.003,"[2, 4, 1]",0.576561,0.51918,0.8077,0.8111,810.58082
0.003,"[2, 8, 1]",0.54323,0.525674,0.8173,0.8222,821.6743260000001
0.003,"[2, 4, 4, 1]",0.535032,0.488189,0.8077,0.8444,843.9118110000001
0.003,"[2, 8, 8, 1]",0.534506,0.506262,0.8173,0.8444,843.8937380000001
0.003,"[2, 16, 8, 1]",0.515939,0.496207,0.8125,0.8222,821.703793
0.01,"[2, 2, 1]",0.609463,0.530561,0.7981,0.8444,843.869439
0.01,"[2, 4, 1]",0.548633,0.496103,0.8077,0.8222,821.7038970000001
0.01,"[2, 8, 1]",0.52487,0.527976,0.8029,0.8222,821.6720240000001
0.01,"[2, 4, 4, 1]",0.495482,0.492431,0.8317,0.8444,843.9075690000001
0.01,"[2, 8, 8, 1]",0.493429,0.510629,0.8173,0.8222,821.689371
0.01,"[2, 16, 8, 1]",0.485213,0.486784,0.8077,0.8333,832.8132160000001
0.03,"[2, 2, 1]",0.607447,0.529402,0.7981,0.8444,843.8705980000001
0.03,"[2, 4, 1]",0.543618,0.491563,0.8173,0.8444,843.908437
0.03,"[2, 8, 1]",0.508391,0.530848,0.7933,0.8,799.469152
0.03,"[2, 4, 4, 1]",0.481281,0.494255,0.8221,0.8222,821.7057450000001
0.03,"[2, 8, 8, 1]",0.471702,0.52686,0.8269,0.8222,821.67314
0.03,"[2, 16, 8, 1]",0.461494,0.50178,0.8173,0.8444,843.89822
0.1,"[2, 2, 1]",0.607445,0.529435,0.7981,0.8444,843.870565
0.1,"[2, 4, 1]",0.526742,0.471935,0.7981,0.8333,832.828065
0.1,"[2, 8, 1]",0.51369,0.539281,0.8077,0.8111,810.5607190000001
0.1,"[2, 4, 4, 1]",0.481457,0.491169,0.8269,0.8222,821.708831
0.1,"[2, 8, 8, 1]",0.451801,0.564781,0.8269,0.8222,821.635219
0.1,"[2, 16, 8, 1]",0.441757,0.510831,0.8125,0.8222,821.689169
0.3,"[2, 2, 1]",0.76576,0.535457,0.8077,0.8,799.464543
0.3,"[2, 4, 1]",0.557432,0.562412,0.8269,0.8222,821.637588
0.3,"[2, 8, 1]",,,0.5048,0.5111,
0.3,"[2, 4, 4, 1]",0.508858,0.49583,0.8365,0.8111,810.6041700000001
0.3,"[2, 8, 8, 1]",0.452507,0.655512,0.8462,0.8,799.344488
0.3,"[2, 16, 8, 1]",0.502759,0.674131,0.8462,0.7778,777.1258690000001
